chr	start	end	strand	ensembl	gene_name	gene_type
1	34554	36081	-	ENSG00000237613	FAM138A	protein_coding
1	69091	70008	+	ENSG00000186092	OR4F5	protein_coding
1	367640	368634	+	ENSG00000235249	OR4F29	protein_coding
1	621059	622053	-	ENSG00000185097	OR4F16	protein_coding
1	721320	722513	+	ENSG00000197049	AL669831.1	protein_coding
1	860260	879955	+	ENSG00000187634	SAMD11	protein_coding
1	879584	894689	-	ENSG00000188976	NOC2L	protein_coding
1	895967	901095	+	ENSG00000187961	KLHL17	protein_coding
1	901877	911245	+	ENSG00000187583	PLEKHN1	protein_coding
1	910579	917497	-	ENSG00000187642	C1orf170	protein_coding
1	934342	935552	-	ENSG00000188290	HES4	protein_coding
1	948803	949920	+	ENSG00000187608	ISG15	protein_coding
1	955503	991496	+	ENSG00000188157	AGRN	protein_coding
1	1007126	1009687	-	ENSG00000237330	RNF223	protein_coding
1	1017198	1051741	-	ENSG00000131591	C1orf159	protein_coding
1	1109264	1133315	+	ENSG00000162571	TTLL10	protein_coding
1	1138888	1142071	-	ENSG00000186891	TNFRSF18	protein_coding
1	1146706	1149518	-	ENSG00000186827	TNFRSF4	protein_coding
1	1152288	1167411	-	ENSG00000078808	SDF4	protein_coding
1	1167629	1170421	+	ENSG00000176022	B3GALT6	protein_coding
1	1177826	1182102	-	ENSG00000184163	FAM132A	protein_coding
1	1189289	1209265	-	ENSG00000160087	UBE2J2	protein_coding
1	1214447	1227409	+	ENSG00000162572	SCNN1D	protein_coding
1	1227756	1244989	-	ENSG00000131584	ACAP3	protein_coding
1	1243947	1247057	+	ENSG00000169972	PUSL1	protein_coding
1	1246965	1260071	-	ENSG00000127054	CPSF3L	protein_coding
1	1260136	1264277	+	ENSG00000224051	GLTPD1	protein_coding
1	1266694	1270686	+	ENSG00000169962	TAS1R3	protein_coding
1	1270656	1284760	-	ENSG00000107404	DVL1	protein_coding
1	1288069	1297157	-	ENSG00000162576	MXRA8	protein_coding
1	1309110	1310875	-	ENSG00000175756	AURKAIP1	protein_coding
1	1321091	1334708	-	ENSG00000221978	CCNL2	protein_coding
1	1337288	1342693	-	ENSG00000242485	MRPL20	protein_coding
1	1353800	1357149	-	ENSG00000235098	ANKRD65	protein_coding
1	1370241	1378262	+	ENSG00000179403	VWA1	protein_coding
1	1385069	1405538	+	ENSG00000215915	ATAD3C	protein_coding
1	1407143	1433228	+	ENSG00000160072	ATAD3B	protein_coding
1	1447531	1470067	+	ENSG00000197785	ATAD3A	protein_coding
1	1470554	1475833	-	ENSG00000205090	C1orf70	protein_coding
1	1477053	1510249	-	ENSG00000160075	SSU72	protein_coding
1	1510355	1511373	+	ENSG00000215014	AL645728.1	protein_coding
1	1533392	1535476	-	ENSG00000228594	RP11-345P4.5	protein_coding
1	1550795	1565990	+	ENSG00000197530	MIB2	protein_coding
1	1567474	1570639	+	ENSG00000189409	MMP23B	protein_coding
1	1592939	1624167	-	ENSG00000189339	SLC35E2B	protein_coding
1	1634169	1655966	-	ENSG00000008128	CDK11A	protein_coding
1	1656277	1677431	-	ENSG00000215790	SLC35E2	protein_coding
1	1682671	1711896	-	ENSG00000008130	NADK	protein_coding
1	1716725	1822502	-	ENSG00000078369	GNB1	protein_coding
1	1846266	1848735	+	ENSG00000169885	CALML6	protein_coding
1	1849029	1850712	-	ENSG00000178821	TMEM52	protein_coding
1	1853396	1935276	-	ENSG00000142609	C1orf222	protein_coding
1	1950780	1962192	+	ENSG00000187730	GABRD	protein_coding
1	1981909	2116834	+	ENSG00000067606	PRKCZ	protein_coding
1	2115903	2144159	-	ENSG00000162585	C1orf86	protein_coding
1	2143360	2145620	-	ENSG00000203301	AL590822.1	protein_coding
1	2160134	2241558	+	ENSG00000157933	SKI	protein_coding
1	2252692	2323146	-	ENSG00000116151	MORN1	protein_coding
1	2323267	2335190	+	ENSG00000157916	RER1	protein_coding
1	2336236	2345236	-	ENSG00000157911	PEX10	protein_coding
1	2398898	2436969	+	ENSG00000149527	PLCH2	protein_coding
1	2439972	2458039	-	ENSG00000157881	PANK4	protein_coding
1	2460184	2461684	-	ENSG00000197921	HES5	protein_coding
1	2487078	2497061	+	ENSG00000157873	TNFRSF14	protein_coding
1	2517930	2522908	+	ENSG00000157870	C1orf93	protein_coding
1	2522078	2564481	-	ENSG00000142606	MMEL1	protein_coding
1	2567415	2706280	-	ENSG00000215912	TTC34	protein_coding
1	2938046	2939465	+	ENSG00000169717	ACTRT2	protein_coding
1	2985732	3355185	+	ENSG00000142611	PRDM16	protein_coding
1	3370990	3397677	+	ENSG00000130762	ARHGEF16	protein_coding
1	3406484	3528059	-	ENSG00000162591	MEGF6	protein_coding
1	3541566	3546691	+	ENSG00000158109	TPRG1L	protein_coding
1	3547331	3569325	-	ENSG00000116213	WRAP73	protein_coding
1	3569084	3652765	+	ENSG00000078900	TP73	protein_coding
1	3668962	3688208	+	ENSG00000162592	CCDC27	protein_coding
1	3696784	3713068	-	ENSG00000130764	LRRC47	protein_coding
1	3728645	3773778	-	ENSG00000116198	CEP104	protein_coding
1	3773845	3801993	+	ENSG00000169598	DFFB	protein_coding
1	3805689	3816857	-	ENSG00000198912	C1orf174	protein_coding
1	4714792	4843850	+	ENSG00000196581	AJAP1	protein_coding
1	5922871	6052533	-	ENSG00000131697	NPHP4	protein_coding
1	6051526	6161253	+	ENSG00000069424	KCNAB2	protein_coding
1	6161853	6240183	-	ENSG00000116254	CHD5	protein_coding
1	6241329	6269449	-	ENSG00000116251	RPL22	protein_coding
1	6265535	6281359	+	ENSG00000158286	RNF207	protein_coding
1	6281252	6296032	-	ENSG00000116237	ICMT	protein_coding
1	6304252	6305638	+	ENSG00000173673	HES3	protein_coding
1	6307406	6321035	-	ENSG00000158292	GPR153	protein_coding
1	6324333	6454451	-	ENSG00000097021	ACOT7	protein_coding
1	6472478	6484730	-	ENSG00000069812	HES2	protein_coding
1	6484848	6521430	+	ENSG00000187017	ESPN	protein_coding
1	6521211	6526255	-	ENSG00000215788	TNFRSF25	protein_coding
1	6526152	6580121	-	ENSG00000171680	PLEKHG5	protein_coding
1	6581407	6614595	-	ENSG00000162408	NOL9	protein_coding
1	6615241	6639817	+	ENSG00000173662	TAS1R1	protein_coding
1	6640061	6649340	+	ENSG00000204859	ZBTB48	protein_coding
1	6650784	6674667	-	ENSG00000162413	KLHL21	protein_coding
1	6673745	6684093	+	ENSG00000116273	PHF13	protein_coding
1	6684926	6695646	+	ENSG00000041988	THAP3	protein_coding
1	6694228	6761984	-	ENSG00000007923	DNAJC11	protein_coding
1	6845384	7827916	+	ENSG00000171735	CAMTA1	protein_coding
1	7831329	7841492	+	ENSG00000049245	VAMP3	protein_coding
1	7844380	7905237	+	ENSG00000049246	PER3	protein_coding
1	7903143	7913572	-	ENSG00000049247	UTS2	protein_coding
1	7979907	8000926	-	ENSG00000049249	TNFRSF9	protein_coding
1	8014351	8045565	+	ENSG00000116288	PARK7	protein_coding
1	8064464	8086368	-	ENSG00000116285	ERRFI1	protein_coding
1	8377886	8404227	+	ENSG00000162426	SLC45A1	protein_coding
1	8412457	8877702	-	ENSG00000142599	RERE	protein_coding
1	8921061	8939308	-	ENSG00000074800	ENO1	protein_coding
1	9005922	9035151	+	ENSG00000131686	CA6	protein_coding
1	9063359	9086404	-	ENSG00000197241	SLC2A7	protein_coding
1	9095166	9148537	-	ENSG00000142583	SLC2A5	protein_coding
1	9160364	9189250	-	ENSG00000180758	GPR157	protein_coding
